,state,vet_pop,overall_pop_18,vet_pop_p,vet_suicides,all_suicides,vet_suicides_p,vet_rate,civ_rate
0,Alabama,406762,3489439,0.12,130,592,0.22,31.96,14.99
1,Alaska,74614,485178,0.15,30,149,0.20,40.21,28.98
2,Arizona,555500,4649090,0.12,224,1016,0.22,40.32,19.35
3,Arkansas,251482,2127954,0.12,84,402,0.21,33.40,16.95
4,California,2079606,27033547,0.08,655,3602,0.18,31.50,11.81
5,Colorado,414228,3643412,0.11,196,811,0.24,47.32,19.05
6,Connecticut,245359,2674817,0.09,39,271,0.14,15.90,9.55
7,Delaware,78075,657092,0.12,15,95,0.16,19.21,13.82
8,Florida*,1709427,14155099,0.12,595,2587,0.23,34.81,16.01
9,Georgia,710726,6972297,0.10,211,997,0.21,29.69,12.55
10,Hawaii,124261,960064,0.13,21,133,0.16,16.90,13.40
11,Idaho,131795,1088296,0.12,48,223,0.22,36.42,18.30
12,Illinois,803229,9636981,0.08,183,1108,0.17,22.78,10.47
13,Indiana,491684,4754575,0.10,101,790,0.13,20.54,16.16
14,Iowa,250852,2274820,0.11,63,322,0.20,25.11,12.80
15,Kansas,231387,2067370,0.11,88,382,0.23,38.03,16.01
16,Kentucky,335093,3220471,0.10,44,649,0.07,13.13,20.97
17,Louisiana,315184,3199922,0.10,91,522,0.17,28.87,14.94
18,Maine,142506,1034884,0.14,39,191,0.20,27.37,17.03
19,Maryland,461184,4232439,0.11,76,518,0.15,16.48,11.72
20,Massachusetts,437588,5011861,0.09,50,516,0.10,11.43,10.19
21,Michigan,749774,7616804,0.10,230,1131,0.20,30.68,13.12
22,Minnesota,405354,3935350,0.10,125,572,0.22,30.84,12.66
23,Mississippi,214698,2140780,0.10,83,396,0.21,38.66,16.25
24,Missouri***,511821,4434377,0.12,180,808,0.22,35.17,16.01
25,Montana,102649,735059,0.14,53,196,0.27,51.63,22.61
26,Nebraska,149306,1320148,0.11,15,181,0.08,10.05,14.18
27,Nevada,233596,1892386,0.12,104,471,0.22,44.52,22.12
28,New Hampshire,122646,1016155,0.12,42,158,0.27,34.24,12.98
29,New Jersey,497130,6615934,0.08,80,596,0.13,16.09,8.43
30,New Mexico,178400,1465336,0.12,96,401,0.24,53.81,23.70
31,New York,1041376,14857620,0.07,205,1396,0.15,19.69,8.62
32,North Carolina,734260,6773333,0.11,229,1077,0.21,31.19,14.04
33,North Dakota**,55232,491391,0.11,27,95,0.28,48.88,15.59
34,Ohio,953338,8703442,0.11,275,1295,0.21,28.85,13.16
35,Oklahoma,325423,2694837,0.12,112,531,0.21,34.42,17.68
36,Oregon,348422,2881297,0.12,157,594,0.26,45.06,17.25
37,Pennsylvania,1044143,9636871,0.11,324,1441,0.22,31.03,13.00
38,Rhode Island,80703,820384,0.10,16,96,0.17,19.83,10.82
39,South Carolina,396961,3316277,0.12,123,530,0.23,30.99,13.94
40,South Dakota,75167,597885,0.13,21,102,0.21,27.94,15.50
41,Tennessee,510068,4669784,0.11,182,844,0.22,35.68,15.91
42,Texas,1613252,17190551,0.09,434,2433,0.18,26.90,12.83
43,Utah,155573,1821224,0.09,68,378,0.18,43.71,18.61
44,Vermont,55351,489141,0.11,19,89,0.21,34.33,16.14
45,Virginia,757595,5779184,0.13,178,880,0.20,23.50,13.98
46,Washington,622263,4888868,0.13,229,865,0.26,36.80,14.91
47,West Virginia,171036,1423318,0.12,67,300,0.22,39.17,18.61
48,Wisconsin,450802,4277566,0.11,128,729,0.18,28.39,15.71
49,Wyoming,51494,393326,0.13,27,101,0.27,52.43,21.65
